epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8308.51,0.69971,0.43136,0.89603,0.87893,0.86631,0.91227,0.6786,0.71718,0.42326,0.89835,0.000432689,0.000432689,0.000432689
43,8504.08,0.69717,0.42812,0.89623,0.9159,0.86067,0.92206,0.69373,0.71023,0.41409,0.8997,0.000412246,0.000412246,0.000412246
44,8700.11,0.69653,0.42466,0.89535,0.91821,0.85796,0.92449,0.70353,0.70727,0.4116,0.89837,0.000391966,0.000391966,0.000391966
45,8896.04,0.68416,0.41963,0.89223,0.92518,0.85327,0.92232,0.70102,0.70077,0.40863,0.89533,0.000371885,0.000371885,0.000371885
46,9091.7,0.67745,0.41292,0.88966,0.89679,0.87489,0.9234,0.70173,0.69524,0.4044,0.89273,0.000352037,0.000352037,0.000352037
47,9287.39,0.6736,0.41166,0.88667,0.92877,0.85846,0.92644,0.70717,0.6921,0.40423,0.89239,0.000332457,0.000332457,0.000332457
48,9482.94,0.67291,0.4106,0.88609,0.93256,0.86962,0.9293,0.70766,0.68884,0.40187,0.8894,0.00031318,0.00031318,0.00031318
49,9679.66,0.6592,0.40201,0.88118,0.92698,0.86794,0.92531,0.71034,0.68569,0.39482,0.88866,0.000294239,0.000294239,0.000294239
50,9875.4,0.65438,0.40074,0.87924,0.93091,0.87084,0.92944,0.71232,0.68137,0.39479,0.88854,0.000275668,0.000275668,0.000275668
51,10071,0.64892,0.39369,0.87879,0.91031,0.87586,0.92619,0.71335,0.682,0.39513,0.88772,0.0002575,0.0002575,0.0002575
52,10266.8,0.64211,0.39077,0.87721,0.92574,0.86779,0.93027,0.72007,0.67894,0.3914,0.88624,0.000239766,0.000239766,0.000239766
53,10473.4,0.63766,0.38873,0.87378,0.91503,0.88326,0.92972,0.72188,0.67592,0.39054,0.88492,0.000222497,0.000222497,0.000222497
54,10684.5,0.63283,0.38455,0.87083,0.9211,0.87996,0.93681,0.721,0.67027,0.38471,0.88291,0.000205723,0.000205723,0.000205723
55,10879.7,0.62697,0.38096,0.87019,0.92552,0.86635,0.93506,0.72367,0.66821,0.38412,0.88362,0.000189475,0.000189475,0.000189475
56,11080.2,0.62417,0.37808,0.86996,0.92741,0.87619,0.93739,0.7248,0.66296,0.38133,0.88099,0.00017378,0.00017378,0.00017378
57,11275.7,0.61783,0.37441,0.86699,0.93493,0.88362,0.93886,0.72685,0.66216,0.37966,0.88093,0.000158667,0.000158667,0.000158667
58,11471.3,0.61373,0.37196,0.86613,0.91522,0.88986,0.93635,0.72527,0.65925,0.37951,0.88041,0.000144161,0.000144161,0.000144161
59,11666.3,0.61127,0.37133,0.86713,0.92069,0.89027,0.93879,0.72705,0.65832,0.37597,0.87993,0.000130287,0.000130287,0.000130287
60,11861.3,0.60425,0.36824,0.86413,0.91746,0.89133,0.93869,0.72675,0.65896,0.37711,0.87981,0.000117072,0.000117072,0.000117072
61,12057.1,0.59682,0.36425,0.86314,0.92519,0.88194,0.93661,0.72814,0.65625,0.37575,0.8789,0.000104537,0.000104537,0.000104537
62,12253.1,0.59774,0.36414,0.86228,0.93787,0.88364,0.94089,0.7329,0.652,0.37209,0.87744,9.2704e-05,9.2704e-05,9.2704e-05
63,12447,0.59488,0.36167,0.86181,0.92707,0.88872,0.94092,0.73496,0.65163,0.37218,0.87695,8.15947e-05,8.15947e-05,8.15947e-05
64,12641.5,0.58958,0.35589,0.8601,0.91636,0.89779,0.93916,0.73104,0.65024,0.37194,0.87686,7.12282e-05,7.12282e-05,7.12282e-05
65,12838,0.58658,0.35571,0.86027,0.91487,0.90014,0.93848,0.7326,0.64895,0.37024,0.87671,6.16227e-05,6.16227e-05,6.16227e-05
66,13039,0.55773,0.33162,0.84711,0.93621,0.88358,0.94147,0.73073,0.65448,0.37434,0.87832,5.2795e-05,5.2795e-05,5.2795e-05
67,13232.4,0.55454,0.32851,0.84571,0.9384,0.88417,0.9421,0.733,0.65138,0.3722,0.87768,4.47606e-05,4.47606e-05,4.47606e-05
68,13427.2,0.55047,0.32729,0.84445,0.94252,0.88193,0.94132,0.72977,0.65139,0.37222,0.87855,3.75337e-05,3.75337e-05,3.75337e-05
69,13621.6,0.54826,0.32592,0.84198,0.93131,0.89062,0.94141,0.7317,0.64834,0.37029,0.87742,3.11268e-05,3.11268e-05,3.11268e-05
70,13816.5,0.54609,0.32434,0.84305,0.93323,0.88955,0.94135,0.73276,0.64722,0.37004,0.87702,2.55513e-05,2.55513e-05,2.55513e-05
71,14011.7,0.54436,0.32303,0.84345,0.93062,0.88789,0.94225,0.73427,0.64717,0.3693,0.87695,2.08169e-05,2.08169e-05,2.08169e-05
72,14207,0.54328,0.32359,0.84277,0.93142,0.88907,0.94169,0.73554,0.64666,0.36899,0.87705,1.6932e-05,1.6932e-05,1.6932e-05
73,14402.5,0.54327,0.32248,0.84378,0.91776,0.89876,0.94241,0.73506,0.64631,0.36912,0.87705,1.39032e-05,1.39032e-05,1.39032e-05
74,14598.1,0.5414,0.32311,0.84279,0.92836,0.8923,0.94194,0.73419,0.64597,0.36869,0.87669,1.1736e-05,1.1736e-05,1.1736e-05
75,14793.6,0.54075,0.32124,0.8431,0.92236,0.89703,0.94186,0.73553,0.64553,0.36859,0.87657,1.04342e-05,1.04342e-05,1.04342e-05
